Player,K (hs),A (f),D,KAST,K-D Diff,ADR,FK Diff,Rating,Team,MapID,Map,MatchID
NiKo,27 (12),12 (9),16,86.7%,11,82.9,1,1.41,G2,118050,Inferno,2347741
nexa,18 (10),8 (2),15,70.0%,3,72.7,0,1.14,G2,118050,Inferno,2347741
JaCkz,21 (9),9 (1),24,76.7%,-3,80.8,0,1.14,G2,118050,Inferno,2347741
huNter-,21 (10),5 (0),24,63.3%,-3,84.3,-1,1.0,G2,118050,Inferno,2347741
AmaNEk,16 (8),3 (1),18,66.7%,-2,53.2,-4,0.89,G2,118050,Inferno,2347741
Surreal,32 (19),5 (1),21,86.7%,11,107.6,5,1.55,Endpoint,118050,Inferno,2347741
CRUC1AL,24 (7),5 (4),18,83.3%,6,73.9,1,1.19,Endpoint,118050,Inferno,2347741
Thomas,15 (5),7 (0),24,73.3%,-9,61.4,1,0.88,Endpoint,118050,Inferno,2347741
robiin,11 (6),11 (4),20,70.0%,-9,57.4,0,0.78,Endpoint,118050,Inferno,2347741
MiGHTYMAX,15 (11),3 (2),21,66.7%,-6,50.3,-3,0.67,Endpoint,118050,Inferno,2347741
huNter-,28 (9),2 (1),13,81.5%,15,94.9,-1,1.6,G2,118055,Dust2,2347741
NiKo,20 (10),10 (4),14,81.5%,6,85.6,2,1.35,G2,118055,Dust2,2347741
AmaNEk,17 (4),8 (3),16,70.4%,1,81.6,2,1.19,G2,118055,Dust2,2347741
nexa,14 (10),4 (0),14,85.2%,0,63.0,0,1.06,G2,118055,Dust2,2347741
JaCkz,16 (9),2 (1),16,70.4%,0,57.6,-4,0.89,G2,118055,Dust2,2347741
robiin,20 (10),4 (0),19,70.4%,1,83.2,1,1.13,Endpoint,118055,Dust2,2347741
Thomas,20 (6),5 (0),21,63.0%,-1,77.0,4,1.09,Endpoint,118055,Dust2,2347741
MiGHTYMAX,18 (7),5 (4),18,63.0%,0,59.5,1,0.94,Endpoint,118055,Dust2,2347741
Surreal,8 (5),6 (1),19,55.6%,-11,48.0,-5,0.6,Endpoint,118055,Dust2,2347741
CRUC1AL,7 (2),4 (2),19,55.6%,-12,44.2,0,0.57,Endpoint,118055,Dust2,2347741
