Player,K (hs),A (f),D,KAST,K-D Diff,ADR,FK Diff,Rating,Team,MapID,Map,Tournament,Date,Team1,Team2,Result1,Result2,MatchID
EliGE,15 (9),3 (1),15,57.1%,0,83.4,1,1.01,Liquid,118068,Nuke,BLAST Premier Spring Showdown 2021,13th of April 2021,Liquid,Dignitas,0,2,2347742
NAF,11 (3),3 (0),14,61.9%,-3,78.5,0,0.88,Liquid,118068,Nuke,BLAST Premier Spring Showdown 2021,13th of April 2021,Liquid,Dignitas,0,2,2347742
FalleN,9 (4),3 (1),17,57.1%,-8,48.5,1,0.69,Liquid,118068,Nuke,BLAST Premier Spring Showdown 2021,13th of April 2021,Liquid,Dignitas,0,2,2347742
Stewie2K,10 (6),1 (0),18,57.1%,-8,62.2,-2,0.61,Liquid,118068,Nuke,BLAST Premier Spring Showdown 2021,13th of April 2021,Liquid,Dignitas,0,2,2347742
Grim,8 (2),1 (0),16,52.4%,-8,30.3,-1,0.52,Liquid,118068,Nuke,BLAST Premier Spring Showdown 2021,13th of April 2021,Liquid,Dignitas,0,2,2347742
HEAP,20 (13),2 (0),11,81.0%,9,100.2,1,1.63,Dignitas,118068,Nuke,BLAST Premier Spring Showdown 2021,13th of April 2021,Liquid,Dignitas,0,2,2347742
Lekr0,19 (12),5 (1),12,71.4%,7,102.8,2,1.53,Dignitas,118068,Nuke,BLAST Premier Spring Showdown 2021,13th of April 2021,Liquid,Dignitas,0,2,2347742
f0rest,15 (8),3 (2),10,81.0%,5,67.1,0,1.26,Dignitas,118068,Nuke,BLAST Premier Spring Showdown 2021,13th of April 2021,Liquid,Dignitas,0,2,2347742
hallzerk,13 (3),0 (0),11,76.2%,2,60.7,-1,1.15,Dignitas,118068,Nuke,BLAST Premier Spring Showdown 2021,13th of April 2021,Liquid,Dignitas,0,2,2347742
friberg,12 (5),3 (0),10,76.2%,2,73.4,-1,1.14,Dignitas,118068,Nuke,BLAST Premier Spring Showdown 2021,13th of April 2021,Liquid,Dignitas,0,2,2347742
FalleN,22 (12),8 (3),21,65.5%,1,83.8,2,1.2,Liquid,118074,Vertigo,BLAST Premier Spring Showdown 2021,13th of April 2021,Liquid,Dignitas,0,2,2347742
NAF,19 (4),11 (4),20,72.4%,-1,76.3,-2,1.02,Liquid,118074,Vertigo,BLAST Premier Spring Showdown 2021,13th of April 2021,Liquid,Dignitas,0,2,2347742
EliGE,16 (9),6 (1),18,58.6%,-2,68.3,0,0.96,Liquid,118074,Vertigo,BLAST Premier Spring Showdown 2021,13th of April 2021,Liquid,Dignitas,0,2,2347742
Grim,18 (8),8 (1),22,58.6%,-4,73.3,-1,0.89,Liquid,118074,Vertigo,BLAST Premier Spring Showdown 2021,13th of April 2021,Liquid,Dignitas,0,2,2347742
Stewie2K,19 (8),3 (1),22,62.1%,-3,64.0,-2,0.85,Liquid,118074,Vertigo,BLAST Premier Spring Showdown 2021,13th of April 2021,Liquid,Dignitas,0,2,2347742
Lekr0,28 (16),8 (1),17,82.8%,11,106.1,4,1.63,Dignitas,118074,Vertigo,BLAST Premier Spring Showdown 2021,13th of April 2021,Liquid,Dignitas,0,2,2347742
HEAP,27 (12),4 (0),17,79.3%,10,103.1,5,1.53,Dignitas,118074,Vertigo,BLAST Premier Spring Showdown 2021,13th of April 2021,Liquid,Dignitas,0,2,2347742
f0rest,18 (13),7 (3),17,72.4%,1,68.6,0,1.05,Dignitas,118074,Vertigo,BLAST Premier Spring Showdown 2021,13th of April 2021,Liquid,Dignitas,0,2,2347742
hallzerk,16 (6),6 (3),20,72.4%,-4,63.7,-2,0.95,Dignitas,118074,Vertigo,BLAST Premier Spring Showdown 2021,13th of April 2021,Liquid,Dignitas,0,2,2347742
friberg,14 (3),3 (2),23,58.6%,-9,58.6,-4,0.64,Dignitas,118074,Vertigo,BLAST Premier Spring Showdown 2021,13th of April 2021,Liquid,Dignitas,0,2,2347742
NiKo,27 (12),12 (9),16,86.7%,11,82.9,1,1.41,G2,118050,Inferno,BLAST Premier Spring Showdown 2021,13th of April 2021,G2,Endpoint,2,0,2347741
nexa,18 (10),8 (2),15,70.0%,3,72.7,0,1.14,G2,118050,Inferno,BLAST Premier Spring Showdown 2021,13th of April 2021,G2,Endpoint,2,0,2347741
JaCkz,21 (9),9 (1),24,76.7%,-3,80.8,0,1.14,G2,118050,Inferno,BLAST Premier Spring Showdown 2021,13th of April 2021,G2,Endpoint,2,0,2347741
huNter-,21 (10),5 (0),24,63.3%,-3,84.3,-1,1.0,G2,118050,Inferno,BLAST Premier Spring Showdown 2021,13th of April 2021,G2,Endpoint,2,0,2347741
AmaNEk,16 (8),3 (1),18,66.7%,-2,53.2,-4,0.89,G2,118050,Inferno,BLAST Premier Spring Showdown 2021,13th of April 2021,G2,Endpoint,2,0,2347741
Surreal,32 (19),5 (1),21,86.7%,11,107.6,5,1.55,Endpoint,118050,Inferno,BLAST Premier Spring Showdown 2021,13th of April 2021,G2,Endpoint,2,0,2347741
CRUC1AL,24 (7),5 (4),18,83.3%,6,73.9,1,1.19,Endpoint,118050,Inferno,BLAST Premier Spring Showdown 2021,13th of April 2021,G2,Endpoint,2,0,2347741
Thomas,15 (5),7 (0),24,73.3%,-9,61.4,1,0.88,Endpoint,118050,Inferno,BLAST Premier Spring Showdown 2021,13th of April 2021,G2,Endpoint,2,0,2347741
robiin,11 (6),11 (4),20,70.0%,-9,57.4,0,0.78,Endpoint,118050,Inferno,BLAST Premier Spring Showdown 2021,13th of April 2021,G2,Endpoint,2,0,2347741
MiGHTYMAX,15 (11),3 (2),21,66.7%,-6,50.3,-3,0.67,Endpoint,118050,Inferno,BLAST Premier Spring Showdown 2021,13th of April 2021,G2,Endpoint,2,0,2347741
huNter-,28 (9),2 (1),13,81.5%,15,94.9,-1,1.6,G2,118055,Dust2,BLAST Premier Spring Showdown 2021,13th of April 2021,G2,Endpoint,2,0,2347741
NiKo,20 (10),10 (4),14,81.5%,6,85.6,2,1.35,G2,118055,Dust2,BLAST Premier Spring Showdown 2021,13th of April 2021,G2,Endpoint,2,0,2347741
AmaNEk,17 (4),8 (3),16,70.4%,1,81.6,2,1.19,G2,118055,Dust2,BLAST Premier Spring Showdown 2021,13th of April 2021,G2,Endpoint,2,0,2347741
nexa,14 (10),4 (0),14,85.2%,0,63.0,0,1.06,G2,118055,Dust2,BLAST Premier Spring Showdown 2021,13th of April 2021,G2,Endpoint,2,0,2347741
JaCkz,16 (9),2 (1),16,70.4%,0,57.6,-4,0.89,G2,118055,Dust2,BLAST Premier Spring Showdown 2021,13th of April 2021,G2,Endpoint,2,0,2347741
robiin,20 (10),4 (0),19,70.4%,1,83.2,1,1.13,Endpoint,118055,Dust2,BLAST Premier Spring Showdown 2021,13th of April 2021,G2,Endpoint,2,0,2347741
Thomas,20 (6),5 (0),21,63.0%,-1,77.0,4,1.09,Endpoint,118055,Dust2,BLAST Premier Spring Showdown 2021,13th of April 2021,G2,Endpoint,2,0,2347741
MiGHTYMAX,18 (7),5 (4),18,63.0%,0,59.5,1,0.94,Endpoint,118055,Dust2,BLAST Premier Spring Showdown 2021,13th of April 2021,G2,Endpoint,2,0,2347741
Surreal,8 (5),6 (1),19,55.6%,-11,48.0,-5,0.6,Endpoint,118055,Dust2,BLAST Premier Spring Showdown 2021,13th of April 2021,G2,Endpoint,2,0,2347741
CRUC1AL,7 (2),4 (2),19,55.6%,-12,44.2,0,0.57,Endpoint,118055,Dust2,BLAST Premier Spring Showdown 2021,13th of April 2021,G2,Endpoint,2,0,2347741
Magisk,13 (5),3 (2),12,78.3%,1,66.3,1,1.02,Astralis,118030,Inferno,BLAST Premier Spring Showdown 2021,13th of April 2021,Astralis,OG,0,2,2347740
device,12 (3),3 (1),14,69.6%,-2,56.1,4,0.93,Astralis,118030,Inferno,BLAST Premier Spring Showdown 2021,13th of April 2021,Astralis,OG,0,2,2347740
dupreeh,10 (4),2 (0),12,65.2%,-2,53.4,-1,0.86,Astralis,118030,Inferno,BLAST Premier Spring Showdown 2021,13th of April 2021,Astralis,OG,0,2,2347740
gla1ve,7 (4),3 (0),16,56.5%,-9,48.7,-6,0.53,Astralis,118030,Inferno,BLAST Premier Spring Showdown 2021,13th of April 2021,Astralis,OG,0,2,2347740
Bubzkji,7 (4),0 (0),16,56.5%,-9,33.3,-1,0.52,Astralis,118030,Inferno,BLAST Premier Spring Showdown 2021,13th of April 2021,Astralis,OG,0,2,2347740
valde,26 (16),3 (0),6,91.3%,20,115.4,1,1.95,OG,118030,Inferno,BLAST Premier Spring Showdown 2021,13th of April 2021,Astralis,OG,0,2,2347740
niko,12 (6),6 (3),13,78.3%,-1,60.3,1,1.1,OG,118030,Inferno,BLAST Premier Spring Showdown 2021,13th of April 2021,Astralis,OG,0,2,2347740
flameZ,11 (8),6 (3),13,73.9%,-2,64.0,-2,1.06,OG,118030,Inferno,BLAST Premier Spring Showdown 2021,13th of April 2021,Astralis,OG,0,2,2347740
mantuu,12 (5),3 (3),6,78.3%,6,38.0,2,1.06,OG,118030,Inferno,BLAST Premier Spring Showdown 2021,13th of April 2021,Astralis,OG,0,2,2347740
Aleksib,9 (4),4 (1),11,87.0%,-2,51.7,1,1.03,OG,118030,Inferno,BLAST Premier Spring Showdown 2021,13th of April 2021,Astralis,OG,0,2,2347740
Magisk,25 (13),5 (0),23,63.9%,2,78.2,-1,1.08,Astralis,118040,Dust2,BLAST Premier Spring Showdown 2021,13th of April 2021,Astralis,OG,0,2,2347740
device,23 (6),1 (1),21,61.1%,2,61.9,0,1.01,Astralis,118040,Dust2,BLAST Premier Spring Showdown 2021,13th of April 2021,Astralis,OG,0,2,2347740
dupreeh,21 (14),5 (1),28,63.9%,-7,67.8,-2,0.86,Astralis,118040,Dust2,BLAST Premier Spring Showdown 2021,13th of April 2021,Astralis,OG,0,2,2347740
Xyp9x,18 (12),5 (1),24,72.2%,-6,61.7,2,0.84,Astralis,118040,Dust2,BLAST Premier Spring Showdown 2021,13th of April 2021,Astralis,OG,0,2,2347740
gla1ve,17 (10),6 (3),28,61.1%,-11,66.9,-1,0.78,Astralis,118040,Dust2,BLAST Premier Spring Showdown 2021,13th of April 2021,Astralis,OG,0,2,2347740
mantuu,26 (5),6 (0),16,80.6%,10,80.3,3,1.37,OG,118040,Dust2,BLAST Premier Spring Showdown 2021,13th of April 2021,Astralis,OG,0,2,2347740
Aleksib,27 (14),15 (5),24,83.3%,3,88.2,2,1.24,OG,118040,Dust2,BLAST Premier Spring Showdown 2021,13th of April 2021,Astralis,OG,0,2,2347740
flameZ,23 (7),6 (2),21,83.3%,2,58.8,-1,1.12,OG,118040,Dust2,BLAST Premier Spring Showdown 2021,13th of April 2021,Astralis,OG,0,2,2347740
valde,22 (8),7 (0),20,69.4%,2,72.6,0,1.05,OG,118040,Dust2,BLAST Premier Spring Showdown 2021,13th of April 2021,Astralis,OG,0,2,2347740
niko,24 (11),8 (3),23,63.9%,1,63.1,-2,0.89,OG,118040,Dust2,BLAST Premier Spring Showdown 2021,13th of April 2021,Astralis,OG,0,2,2347740
Krad,21 (11),10 (2),18,69.2%,3,92.5,1,1.22,ex-Winstrike,118061,Train,ESEA Premier Season 36 Europe,13th of April 2021,ex-Winstrike,AGO,2,1,2347395
Forester,18 (8),8 (0),21,65.4%,-3,83.0,0,1.05,ex-Winstrike,118061,Train,ESEA Premier Season 36 Europe,13th of April 2021,ex-Winstrike,AGO,2,1,2347395
El1an,17 (5),8 (2),16,73.1%,1,65.5,-1,0.96,ex-Winstrike,118061,Train,ESEA Premier Season 36 Europe,13th of April 2021,ex-Winstrike,AGO,2,1,2347395
Lack1,13 (7),3 (0),21,65.4%,-8,57.3,-2,0.74,ex-Winstrike,118061,Train,ESEA Premier Season 36 Europe,13th of April 2021,ex-Winstrike,AGO,2,1,2347395
NickelBack,16 (3),5 (2),20,57.7%,-4,65.0,-4,0.72,ex-Winstrike,118061,Train,ESEA Premier Season 36 Europe,13th of April 2021,ex-Winstrike,AGO,2,1,2347395
F1KU,29 (13),2 (0),15,80.8%,14,102.8,-1,1.69,AGO,118061,Train,ESEA Premier Season 36 Europe,13th of April 2021,ex-Winstrike,AGO,2,1,2347395
reatz,18 (9),5 (1),17,73.1%,1,72.1,2,1.14,AGO,118061,Train,ESEA Premier Season 36 Europe,13th of April 2021,ex-Winstrike,AGO,2,1,2347395
snatchie,18 (6),3 (1),16,65.4%,2,68.0,6,1.14,AGO,118061,Train,ESEA Premier Season 36 Europe,13th of April 2021,ex-Winstrike,AGO,2,1,2347395
Furlan,16 (9),7 (0),21,73.1%,-5,81.5,0,1.01,AGO,118061,Train,ESEA Premier Season 36 Europe,13th of April 2021,ex-Winstrike,AGO,2,1,2347395
rallen,15 (5),5 (1),16,69.2%,-1,64.2,-1,0.91,AGO,118061,Train,ESEA Premier Season 36 Europe,13th of April 2021,ex-Winstrike,AGO,2,1,2347395
El1an,21 (5),6 (3),14,82.1%,7,79.7,1,1.29,ex-Winstrike,118072,Dust2,ESEA Premier Season 36 Europe,13th of April 2021,ex-Winstrike,AGO,2,1,2347395
Lack1,21 (10),7 (3),19,64.3%,2,90.0,0,1.18,ex-Winstrike,118072,Dust2,ESEA Premier Season 36 Europe,13th of April 2021,ex-Winstrike,AGO,2,1,2347395
Forester,20 (13),4 (1),15,75.0%,5,69.4,-3,1.11,ex-Winstrike,118072,Dust2,ESEA Premier Season 36 Europe,13th of April 2021,ex-Winstrike,AGO,2,1,2347395
NickelBack,15 (3),2 (1),16,71.4%,-1,64.8,-3,0.92,ex-Winstrike,118072,Dust2,ESEA Premier Season 36 Europe,13th of April 2021,ex-Winstrike,AGO,2,1,2347395
Krad,14 (8),1 (0),18,53.6%,-4,57.1,-1,0.83,ex-Winstrike,118072,Dust2,ESEA Premier Season 36 Europe,13th of April 2021,ex-Winstrike,AGO,2,1,2347395
F1KU,24 (11),3 (0),16,67.9%,8,90.1,0,1.28,AGO,118072,Dust2,ESEA Premier Season 36 Europe,13th of April 2021,ex-Winstrike,AGO,2,1,2347395
snatchie,18 (6),2 (0),19,71.4%,-1,67.0,3,1.03,AGO,118072,Dust2,ESEA Premier Season 36 Europe,13th of April 2021,ex-Winstrike,AGO,2,1,2347395
rallen,15 (6),4 (1),20,64.3%,-5,75.3,3,0.95,AGO,118072,Dust2,ESEA Premier Season 36 Europe,13th of April 2021,ex-Winstrike,AGO,2,1,2347395
reatz,13 (7),2 (1),17,71.4%,-4,50.1,0,0.89,AGO,118072,Dust2,ESEA Premier Season 36 Europe,13th of April 2021,ex-Winstrike,AGO,2,1,2347395
Furlan,11 (4),2 (2),20,50.0%,-9,48.2,0,0.62,AGO,118072,Dust2,ESEA Premier Season 36 Europe,13th of April 2021,ex-Winstrike,AGO,2,1,2347395
El1an,33 (13),7 (3),19,75.0%,14,91.4,1,1.46,ex-Winstrike,118081,Vertigo,ESEA Premier Season 36 Europe,13th of April 2021,ex-Winstrike,AGO,2,1,2347395
NickelBack,21 (11),14 (5),25,80.6%,-4,77.8,2,1.13,ex-Winstrike,118081,Vertigo,ESEA Premier Season 36 Europe,13th of April 2021,ex-Winstrike,AGO,2,1,2347395
Krad,29 (14),8 (1),28,72.2%,1,89.9,-1,1.12,ex-Winstrike,118081,Vertigo,ESEA Premier Season 36 Europe,13th of April 2021,ex-Winstrike,AGO,2,1,2347395
Forester,20 (13),3 (0),22,61.1%,-2,63.0,-1,0.91,ex-Winstrike,118081,Vertigo,ESEA Premier Season 36 Europe,13th of April 2021,ex-Winstrike,AGO,2,1,2347395
Lack1,19 (7),6 (2),24,75.0%,-5,54.6,-3,0.81,ex-Winstrike,118081,Vertigo,ESEA Premier Season 36 Europe,13th of April 2021,ex-Winstrike,AGO,2,1,2347395
rallen,38 (21),3 (1),24,63.9%,14,97.3,1,1.35,AGO,118081,Vertigo,ESEA Premier Season 36 Europe,13th of April 2021,ex-Winstrike,AGO,2,1,2347395
Furlan,21 (10),8 (4),22,69.4%,-1,72.1,3,1.05,AGO,118081,Vertigo,ESEA Premier Season 36 Europe,13th of April 2021,ex-Winstrike,AGO,2,1,2347395
snatchie,27 (11),4 (1),27,63.9%,0,67.1,6,1.03,AGO,118081,Vertigo,ESEA Premier Season 36 Europe,13th of April 2021,ex-Winstrike,AGO,2,1,2347395
F1KU,15 (12),6 (1),23,69.4%,-8,59.8,-5,0.77,AGO,118081,Vertigo,ESEA Premier Season 36 Europe,13th of April 2021,ex-Winstrike,AGO,2,1,2347395
reatz,17 (4),10 (0),28,66.7%,-11,58.6,-3,0.74,AGO,118081,Vertigo,ESEA Premier Season 36 Europe,13th of April 2021,ex-Winstrike,AGO,2,1,2347395
EliGE,15 (9),3 (1),15,57.1%,0,83.4,1,1.01,Liquid,118068,Nuke,BLAST Premier Spring Showdown 2021,13th of April 2021,Liquid,Dignitas,0,2,2347742
NAF,11 (3),3 (0),14,61.9%,-3,78.5,0,0.88,Liquid,118068,Nuke,BLAST Premier Spring Showdown 2021,13th of April 2021,Liquid,Dignitas,0,2,2347742
FalleN,9 (4),3 (1),17,57.1%,-8,48.5,1,0.69,Liquid,118068,Nuke,BLAST Premier Spring Showdown 2021,13th of April 2021,Liquid,Dignitas,0,2,2347742
Stewie2K,10 (6),1 (0),18,57.1%,-8,62.2,-2,0.61,Liquid,118068,Nuke,BLAST Premier Spring Showdown 2021,13th of April 2021,Liquid,Dignitas,0,2,2347742
Grim,8 (2),1 (0),16,52.4%,-8,30.3,-1,0.52,Liquid,118068,Nuke,BLAST Premier Spring Showdown 2021,13th of April 2021,Liquid,Dignitas,0,2,2347742
HEAP,20 (13),2 (0),11,81.0%,9,100.2,1,1.63,Dignitas,118068,Nuke,BLAST Premier Spring Showdown 2021,13th of April 2021,Liquid,Dignitas,0,2,2347742
Lekr0,19 (12),5 (1),12,71.4%,7,102.8,2,1.53,Dignitas,118068,Nuke,BLAST Premier Spring Showdown 2021,13th of April 2021,Liquid,Dignitas,0,2,2347742
f0rest,15 (8),3 (2),10,81.0%,5,67.1,0,1.26,Dignitas,118068,Nuke,BLAST Premier Spring Showdown 2021,13th of April 2021,Liquid,Dignitas,0,2,2347742
hallzerk,13 (3),0 (0),11,76.2%,2,60.7,-1,1.15,Dignitas,118068,Nuke,BLAST Premier Spring Showdown 2021,13th of April 2021,Liquid,Dignitas,0,2,2347742
friberg,12 (5),3 (0),10,76.2%,2,73.4,-1,1.14,Dignitas,118068,Nuke,BLAST Premier Spring Showdown 2021,13th of April 2021,Liquid,Dignitas,0,2,2347742
FalleN,22 (12),8 (3),21,65.5%,1,83.8,2,1.2,Liquid,118074,Vertigo,BLAST Premier Spring Showdown 2021,13th of April 2021,Liquid,Dignitas,0,2,2347742
NAF,19 (4),11 (4),20,72.4%,-1,76.3,-2,1.02,Liquid,118074,Vertigo,BLAST Premier Spring Showdown 2021,13th of April 2021,Liquid,Dignitas,0,2,2347742
EliGE,16 (9),6 (1),18,58.6%,-2,68.3,0,0.96,Liquid,118074,Vertigo,BLAST Premier Spring Showdown 2021,13th of April 2021,Liquid,Dignitas,0,2,2347742
Grim,18 (8),8 (1),22,58.6%,-4,73.3,-1,0.89,Liquid,118074,Vertigo,BLAST Premier Spring Showdown 2021,13th of April 2021,Liquid,Dignitas,0,2,2347742
Stewie2K,19 (8),3 (1),22,62.1%,-3,64.0,-2,0.85,Liquid,118074,Vertigo,BLAST Premier Spring Showdown 2021,13th of April 2021,Liquid,Dignitas,0,2,2347742
Lekr0,28 (16),8 (1),17,82.8%,11,106.1,4,1.63,Dignitas,118074,Vertigo,BLAST Premier Spring Showdown 2021,13th of April 2021,Liquid,Dignitas,0,2,2347742
HEAP,27 (12),4 (0),17,79.3%,10,103.1,5,1.53,Dignitas,118074,Vertigo,BLAST Premier Spring Showdown 2021,13th of April 2021,Liquid,Dignitas,0,2,2347742
f0rest,18 (13),7 (3),17,72.4%,1,68.6,0,1.05,Dignitas,118074,Vertigo,BLAST Premier Spring Showdown 2021,13th of April 2021,Liquid,Dignitas,0,2,2347742
hallzerk,16 (6),6 (3),20,72.4%,-4,63.7,-2,0.95,Dignitas,118074,Vertigo,BLAST Premier Spring Showdown 2021,13th of April 2021,Liquid,Dignitas,0,2,2347742
friberg,14 (3),3 (2),23,58.6%,-9,58.6,-4,0.64,Dignitas,118074,Vertigo,BLAST Premier Spring Showdown 2021,13th of April 2021,Liquid,Dignitas,0,2,2347742
sh1ro,32 (7),4 (3),19,86.1%,13,80.2,2,1.38,Gambit,117935,Inferno,ESL Pro League Season 13,11th of April 2021,Gambit,Heroic,2,3,2347028
Hobbit,24 (13),11 (1),22,77.8%,2,85.2,3,1.25,Gambit,117935,Inferno,ESL Pro League Season 13,11th of April 2021,Gambit,Heroic,2,3,2347028
Ax1Le,21 (11),6 (0),23,63.9%,-2,73.4,6,1.08,Gambit,117935,Inferno,ESL Pro League Season 13,11th of April 2021,Gambit,Heroic,2,3,2347028
nafany,21 (11),5 (1),26,58.3%,-5,71.0,-5,0.87,Gambit,117935,Inferno,ESL Pro League Season 13,11th of April 2021,Gambit,Heroic,2,3,2347028
interz,19 (12),2 (0),23,69.4%,-4,51.2,-2,0.84,Gambit,117935,Inferno,ESL Pro League Season 13,11th of April 2021,Gambit,Heroic,2,3,2347028
stavn,29 (12),5 (2),24,69.4%,5,80.7,4,1.21,Heroic,117935,Inferno,ESL Pro League Season 13,11th of April 2021,Gambit,Heroic,2,3,2347028
refrezh,22 (10),9 (5),21,61.1%,1,66.0,-2,1.01,Heroic,117935,Inferno,ESL Pro League Season 13,11th of April 2021,Gambit,Heroic,2,3,2347028
sjuush,21 (8),11 (2),23,66.7%,-2,77.8,-1,0.99,Heroic,117935,Inferno,ESL Pro League Season 13,11th of April 2021,Gambit,Heroic,2,3,2347028
cadiaN,20 (3),4 (3),24,69.4%,-4,57.8,0,0.88,Heroic,117935,Inferno,ESL Pro League Season 13,11th of April 2021,Gambit,Heroic,2,3,2347028
TeSeS,19 (17),5 (2),25,66.7%,-6,58.4,-5,0.83,Heroic,117935,Inferno,ESL Pro League Season 13,11th of April 2021,Gambit,Heroic,2,3,2347028
Hobbit,21 (8),4 (1),11,78.9%,10,98.1,4,1.71,Gambit,117943,Vertigo,ESL Pro League Season 13,11th of April 2021,Gambit,Heroic,2,3,2347028
Ax1Le,18 (15),1 (0),10,84.2%,8,109.1,2,1.62,Gambit,117943,Vertigo,ESL Pro League Season 13,11th of April 2021,Gambit,Heroic,2,3,2347028
nafany,14 (7),2 (0),13,68.4%,1,74.5,0,1.21,Gambit,117943,Vertigo,ESL Pro League Season 13,11th of April 2021,Gambit,Heroic,2,3,2347028
sh1ro,10 (4),5 (1),5,84.2%,5,53.4,0,1.2,Gambit,117943,Vertigo,ESL Pro League Season 13,11th of April 2021,Gambit,Heroic,2,3,2347028
interz,8 (2),7 (3),7,78.9%,1,60.3,1,1.13,Gambit,117943,Vertigo,ESL Pro League Season 13,11th of April 2021,Gambit,Heroic,2,3,2347028
cadiaN,10 (0),3 (1),11,52.6%,-1,67.8,-3,0.83,Heroic,117943,Vertigo,ESL Pro League Season 13,11th of April 2021,Gambit,Heroic,2,3,2347028
refrezh,9 (7),2 (1),13,68.4%,-4,57.6,1,0.76,Heroic,117943,Vertigo,ESL Pro League Season 13,11th of April 2021,Gambit,Heroic,2,3,2347028
sjuush,10 (4),4 (2),16,68.4%,-6,61.6,-1,0.75,Heroic,117943,Vertigo,ESL Pro League Season 13,11th of April 2021,Gambit,Heroic,2,3,2347028
TeSeS,10 (6),1 (0),15,57.9%,-5,70.1,-2,0.7,Heroic,117943,Vertigo,ESL Pro League Season 13,11th of April 2021,Gambit,Heroic,2,3,2347028
stavn,7 (1),4 (2),16,47.4%,-9,53.3,-2,0.49,Heroic,117943,Vertigo,ESL Pro League Season 13,11th of April 2021,Gambit,Heroic,2,3,2347028
sh1ro,50 (6),8 (3),31,77.8%,19,82.9,4,1.35,Gambit,117951,Train,ESL Pro League Season 13,11th of April 2021,Gambit,Heroic,2,3,2347028
Hobbit,39 (17),11 (0),37,72.2%,2,84.2,3,1.15,Gambit,117951,Train,ESL Pro League Season 13,11th of April 2021,Gambit,Heroic,2,3,2347028
nafany,35 (10),6 (0),45,61.1%,-10,78.0,-3,0.91,Gambit,117951,Train,ESL Pro League Season 13,11th of April 2021,Gambit,Heroic,2,3,2347028
Ax1Le,31 (9),9 (2),35,63.0%,-4,65.2,-1,0.91,Gambit,117951,Train,ESL Pro League Season 13,11th of April 2021,Gambit,Heroic,2,3,2347028
interz,26 (9),9 (1),34,74.1%,-8,57.7,-3,0.86,Gambit,117951,Train,ESL Pro League Season 13,11th of April 2021,Gambit,Heroic,2,3,2347028
cadiaN,47 (5),3 (0),34,70.4%,13,84.3,5,1.3,Heroic,117951,Train,ESL Pro League Season 13,11th of April 2021,Gambit,Heroic,2,3,2347028
TeSeS,38 (25),11 (2),37,74.1%,1,80.3,-2,1.11,Heroic,117951,Train,ESL Pro League Season 13,11th of April 2021,Gambit,Heroic,2,3,2347028
stavn,35 (13),6 (1),37,68.5%,-2,70.6,4,0.96,Heroic,117951,Train,ESL Pro League Season 13,11th of April 2021,Gambit,Heroic,2,3,2347028
sjuush,33 (13),8 (2),37,68.5%,-4,66.7,-5,0.93,Heroic,117951,Train,ESL Pro League Season 13,11th of April 2021,Gambit,Heroic,2,3,2347028
refrezh,28 (11),8 (2),36,75.9%,-8,65.3,-2,0.88,Heroic,117951,Train,ESL Pro League Season 13,11th of April 2021,Gambit,Heroic,2,3,2347028
nafany,26 (12),3 (1),16,73.1%,10,97.7,1,1.51,Gambit,117960,Overpass,ESL Pro League Season 13,11th of April 2021,Gambit,Heroic,2,3,2347028
sh1ro,17 (3),3 (0),13,69.2%,4,59.3,1,1.09,Gambit,117960,Overpass,ESL Pro League Season 13,11th of April 2021,Gambit,Heroic,2,3,2347028
Ax1Le,18 (11),3 (1),15,73.1%,3,70.3,0,1.08,Gambit,117960,Overpass,ESL Pro League Season 13,11th of April 2021,Gambit,Heroic,2,3,2347028
interz,15 (7),5 (1),17,65.4%,-2,68.8,0,0.97,Gambit,117960,Overpass,ESL Pro League Season 13,11th of April 2021,Gambit,Heroic,2,3,2347028
Hobbit,12 (7),8 (3),17,69.2%,-5,67.5,-2,0.92,Gambit,117960,Overpass,ESL Pro League Season 13,11th of April 2021,Gambit,Heroic,2,3,2347028
refrezh,19 (11),4 (0),15,84.6%,4,77.5,1,1.21,Heroic,117960,Overpass,ESL Pro League Season 13,11th of April 2021,Gambit,Heroic,2,3,2347028
cadiaN,19 (4),5 (0),18,61.5%,1,72.0,3,1.05,Heroic,117960,Overpass,ESL Pro League Season 13,11th of April 2021,Gambit,Heroic,2,3,2347028
sjuush,16 (8),3 (2),17,61.5%,-1,66.0,0,0.91,Heroic,117960,Overpass,ESL Pro League Season 13,11th of April 2021,Gambit,Heroic,2,3,2347028
TeSeS,17 (10),3 (0),21,50.0%,-4,75.2,0,0.87,Heroic,117960,Overpass,ESL Pro League Season 13,11th of April 2021,Gambit,Heroic,2,3,2347028
stavn,7 (1),7 (3),17,65.4%,-10,44.8,-4,0.65,Heroic,117960,Overpass,ESL Pro League Season 13,11th of April 2021,Gambit,Heroic,2,3,2347028
Ax1Le,15 (9),5 (5),17,68.2%,-2,72.3,2,1.06,Gambit,117962,Mirage,ESL Pro League Season 13,11th of April 2021,Gambit,Heroic,2,3,2347028
sh1ro,13 (4),3 (0),15,72.7%,-2,65.5,3,0.98,Gambit,117962,Mirage,ESL Pro League Season 13,11th of April 2021,Gambit,Heroic,2,3,2347028
Hobbit,13 (4),1 (0),17,50.0%,-4,74.3,3,0.9,Gambit,117962,Mirage,ESL Pro League Season 13,11th of April 2021,Gambit,Heroic,2,3,2347028
